t[s] ECG[a.u.] Pletism[a.u.]
0.0000 -1.989363e+06 2.573703e-01
0.0150 -2.185971e+06 -2.135547e+01
0.0301 -1.923828e+06 -4.564676e+01
0.0451 -1.661685e+06 -7.466389e+01
0.0601 -1.661686e+06 -1.093055e+02
0.0751 -1.661683e+06 -1.489864e+02
0.0902 -1.268470e+06 -1.915478e+02
0.1052 -1.399539e+06 -2.334336e+02
0.1202 -9.407898e+05 -2.701130e+02
0.1352 -8.752528e+05 -2.966909e+02
0.1503 -7.441798e+05 -3.086197e+02
0.1653 -2.854288e+05 -3.024079e+02
0.1803 -4.820368e+05 -2.762192e+02
0.1953 -8.097158e+05 -2.302710e+02
0.2104 -6.786448e+05 -1.669672e+02
0.2254 -4.820378e+05 -9.073875e+01
0.2404 -7.441808e+05 -7.605514e+00
0.2554 -6.131088e+05 7.548635e+01
0.2705 -3.509658e+05 1.514654e+02
0.2855 -7.441788e+05 2.139682e+02
0.3005 -5.475718e+05 2.580938e+02
0.3155 -3.509658e+05 2.809783e+02
0.3306 -3.509638e+05 2.821134e+02
0.3456 -2.854298e+05 2.633686e+02
0.3606 -4.164988e+05 2.287159e+02
0.3756 -2.198918e+05 1.836970e+02
0.3907 -4.165008e+05 1.347071e+02
0.4057 -4.820378e+05 8.819270e+01
0.4207 -4.165018e+05 4.986921e+01
0.4357 -8.882184e+04 2.406066e+01
0.4508 -1.543568e+05 1.324214e+01
0.4658 5.665382e+05 1.783728e+01
0.4808 5.665402e+05 3.628570e+01
0.4958 3.699302e+05 6.535807e+01
0.5109 -8.881984e+04 1.006642e+02
0.5259 -2.198908e+05 1.372753e+02
0.5409 -4.164988e+05 1.703709e+02
0.5559 -2.198908e+05 1.958208e+02
0.5710 -6.131068e+05 2.106285e+02
0.5860 6.976102e+05 2.131867e+02
0.6010 8.037643e+06 2.033234e+02
0.6161 1.570536e+07 1.821516e+02
0.6311 -6.839029e+06 1.517616e+02
0.6461 -5.790454e+06 1.148145e+02
0.6611 1.733242e+05 7.410876e+01
0.6762 -6.131088e+05 3.218512e+01
0.6912 -3.509648e+05 -8.970599e+00
0.7062 -2.198918e+05 -4.809232e+01
0.7212 2.388592e+05 -8.465342e+01
0.7363 3.043952e+05 -1.187539e+02
0.7513 4.354672e+05 -1.509095e+02
0.7663 3.699322e+05 -1.817904e+02
0.7813 8.286822e+05 -2.119644e+02
0.7964 1.090826e+06 -2.416911e+02
0.8114 1.156365e+06 -2.708059e+02
0.8264 1.418508e+06 -2.987093e+02
0.8414 2.467083e+06 -3.244589e+02
0.8565 3.122443e+06 -3.469406e+02
0.8715 2.663691e+06 -3.650801e+02
0.8865 1.746187e+06 -3.780493e+02
0.9015 -1.543568e+05 -3.854228e+02
0.9166 -1.596150e+06 -3.872503e+02
0.9316 -1.858294e+06 -3.840262e+02
0.9466 -1.596149e+06 -3.765596e+02
0.9616 -1.661683e+06 -3.657654e+02
0.9767 -1.465076e+06 -3.524189e+02
0.9917 -1.202931e+06 -3.369210e+02
1.0067 -1.137395e+06 -3.191250e+02
1.0217 -8.752518e+05 -2.982684e+02
1.0368 -7.441788e+05 -2.730349e+02
1.0518 -8.752528e+05 -2.417493e+02
1.0668 -5.475718e+05 -2.026851e+02
1.0818 -2.198918e+05 -1.544413e+02
1.0969 -3.509648e+05 -9.632770e+01
1.1119 -5.475728e+05 -2.869236e+01
1.1269 -2.198928e+05 4.687254e+01
1.1420 -2.198928e+05 1.274950e+02
1.1570 -4.164988e+05 2.091832e+02
1.1720 -4.820348e+05 2.871765e+02
1.1870 -4.820358e+05 3.564526e+02
1.2021 -4.820358e+05 4.123291e+02
1.2171 -3.509638e+05 4.510773e+02
1.2321 -8.881884e+04 4.704614e+02
1.2471 -3.509638e+05 4.701172e+02
1.2622 -1.543578e+05 4.517085e+02
1.2772 -1.543548e+05 4.188237e+02
1.2922 -8.881984e+04 3.766136e+02
1.3072 -2.328484e+04 3.312078e+02
1.3223 -2.328584e+04 2.889802e+02
1.3373 -2.854268e+05 2.557591e+02
1.3523 -2.198908e+05 2.360861e+02
1.3673 1.077862e+05 2.326263e+02
1.3824 5.010052e+05 2.458136e+02
1.3974 3.699312e+05 2.737812e+02
1.4124 4.225216e+04 3.125920e+02
1.4274 -2.198918e+05 3.567394e+02
1.4425 -4.820378e+05 3.998511e+02
1.4575 -2.328284e+04 4.355037e+02
1.4725 -8.882184e+04 4.580345e+02
1.4875 -1.399542e+06 4.632427e+02
1.5026 7.251210e+06 4.488860e+02
1.5176 1.668840e+07 4.149076e+02
1.5326 -6.314739e+06 3.633703e+02
1.5476 -1.122994e+07 2.981111e+02
1.5627 -1.006323e+06 2.241751e+02
1.5777 -6.131078e+05 1.471115e+02
1.5927 -6.786428e+05 7.223759e+01
1.6077 -1.543578e+05 3.974981e+00
1.6228 -2.854278e+05 -5.465076e+01
1.6378 -2.854268e+05 -1.022808e+02
1.6528 -2.198918e+05 -1.392364e+02
1.6678 1.733252e+05 -1.672850e+02
1.6829 1.733252e+05 -1.892070e+02
1.6979 3.043962e+05 -2.082387e+02
1.7129 1.090827e+06 -2.274850e+02
1.7280 1.352972e+06 -2.493947e+02
1.7430 1.877260e+06 -2.753797e+02
1.7580 2.925834e+06 -3.056326e+02
1.7730 3.122442e+06 -3.391646e+02
1.7881 2.598157e+06 -3.740466e+02
1.8031 1.156365e+06 -4.078055e+02
1.8181 -8.752508e+05 -4.379028e+02
1.8331 -1.858294e+06 -4.622071e+02
1.8482 -1.858292e+06 -4.793788e+02
1.8632 -1.727220e+06 -4.890978e+02
1.8782 -1.399542e+06 -4.920946e+02
1.8932 -1.465075e+06 -4.899769e+02
1.9083 -1.334006e+06 -4.848829e+02
1.9233 -1.268468e+06 -4.790201e+02
1.9383 -8.752528e+05 -4.741710e+02
1.9533 -8.097148e+05 -4.712554e+02
1.9684 -4.164988e+05 -4.700304e+02
1.9834 -4.820368e+05 -4.689897e+02
1.9984 -3.509638e+05 -4.654924e+02
2.0134 -4.164988e+05 -4.561121e+02
2.0285 -4.820348e+05 -4.371628e+02
2.0435 -2.854268e+05 -4.053240e+02
2.0585 -5.475718e+05 -3.582696e+02
2.0735 -4.820378e+05 -2.951994e+02
2.0886 -4.820358e+05 -2.171813e+02
2.1036 -2.854288e+05 -1.272413e+02
2.1186 -2.198918e+05 -3.016979e+01
2.1336 -3.509638e+05 6.794129e+01
2.1487 -2.854298e+05 1.603777e+02
2.1637 -2.854278e+05 2.406092e+02
2.1787 -2.198938e+05 3.031136e+02
2.1937 -2.198938e+05 3.441026e+02
2.2088 -2.198928e+05 3.620450e+02
2.2238 -8.882184e+04 3.579078e+02
